mirna_accession,mirna_name,chr,start,end,strand
MIMAT0027618,hsa-miR-6859-5p,1,17409,17431,-
MIMAT0027619,hsa-miR-6859-3p,1,17369,17391,-
MIMAT0005890,hsa-miR-1302,1,30438,30458,+
MIMAT0027618,hsa-miR-6859-5p,2,114353582,114353604,+
MIMAT0027619,hsa-miR-6859-3p,2,114353622,114353634,+
MIMAT0049032,hsa-miR-12136,1,568048,568065,-
MIMAT0004571,hsa-miR-200b-5p,1,1102504,1102525,+
MIMAT0000318,hsa-miR-200b-3p,1,1102540,1102561,+
MIMAT0001620,hsa-miR-200a-5p,1,1103258,1103279,+
MIMAT0000682,hsa-miR-200a-3p,1,1103296,1103317,+
MIMAT0001536,hsa-miR-429,1,1104435,1104456,+
MIMAT0027353,hsa-miR-6726-5p,1,1231525,1231545,-
MIMAT0027354,hsa-miR-6726-3p,1,1231490,1231509,-
MIMAT0027355,hsa-miR-6727-5p,1,1247919,1247941,-
MIMAT0027356,hsa-miR-6727-3p,1,1247882,1247901,-
MIMAT0027516,hsa-miR-6808-5p,1,1275062,1275083,-
MIMAT0027517,hsa-miR-6808-3p,1,1275030,1275050,-
MIMAT0016883,hsa-miR-4251,1,3044573,3044589,+
MIMAT0003214,hsa-miR-551a,1,3477274,3477294,-
MIMAT0019778,hsa-miR-4689,1,5922771,5922792,-
MIMAT0016886,hsa-miR-4252,1,6489904,6489922,-
MIMAT0027357,hsa-miR-6728-5p,1,8926622,8926644,-
MIMAT0027358,hsa-miR-6728-3p,1,8926561,8926581,-
MIMAT0000255,hsa-miR-34a-5p,1,9211794,9211815,-
MIMAT0004557,hsa-miR-34a-3p,1,9211752,9211773,-
MIMAT0022490,hsa-miR-5697,1,10027448,10027469,+
MIMAT0027359,hsa-miR-6729-5p,1,12089220,12089241,+
MIMAT0027360,hsa-miR-6729-3p,1,12089259,12089279,+
MIMAT0030421,hsa-miR-7846-3p,1,12227067,12227087,+
MIMAT0019688,hsa-miR-4632-3p,1,12251809,12251830,+
MIMAT0022977,hsa-miR-4632-5p,1,12251770,12251792,+
MIMAT0027361,hsa-miR-6730-5p,1,12639024,12639046,-
MIMAT0027362,hsa-miR-6730-3p,1,12638986,12639007,-
MIMAT0018098,hsa-miR-3675-5p,1,17185483,17185505,-
MIMAT0018099,hsa-miR-3675-3p,1,17185453,17185474,-
MIMAT0019357,hsa-miR-3972,1,17604443,17604464,+
MIMAT0019788,hsa-miR-4695-5p,1,19209744,19209765,-
MIMAT0019789,hsa-miR-4695-3p,1,19209698,19209719,-
MIMAT0005880,hsa-miR-1290,1,19223572,19223590,-
MIMAT0023709,hsa-miR-6084,1,20960249,20960268,+
MIMAT0005907,hsa-miR-1256,1,21314870,21314891,-
MIMAT0018930,hsa-miR-4418,1,22592770,22592787,+
MIMAT0024610,hsa-miR-6127,1,22959821,22959839,-
MIMAT0019769,hsa-miR-4684-5p,1,23046023,23046044,+
MIMAT0019770,hsa-miR-4684-3p,1,23046059,23046080,+
MIMAT0016882,hsa-miR-4253,1,23189662,23189679,-
MIMAT0014977,hsa-miR-3115,1,23370803,23370822,+
